iter	Passed	Remaining
455	936	1117
456	937	1114
457	940	1113
458	941	1110
459	943	1107
460	944	1104
461	945	1101
462	947	1098
463	948	1095
464	949	1092
465	951	1090
466	953	1087
467	955	1086
468	957	1084
469	959	1081
470	960	1078
471	961	1076
472	963	1073
473	966	1072
474	967	1069
475	970	1068
476	972	1066
477	974	1063
478	975	1061
479	977	1059
480	978	1056
481	980	1053
482	981	1050
483	982	1047
484	985	1046
485	987	1044
486	989	1041
487	990	1039
488	991	1036
489	993	1033
490	994	1030
491	995	1028
492	997	1025
493	1000	1025
494	1002	1022
495	1003	1019
496	1004	1017
497	1006	1014
498	1007	1011
499	1008	1008
500	1010	1005
501	1011	1003
502	1012	1000
503	1015	999
504	1016	996
505	1018	994
506	1019	991
507	1021	989
508	1022	986
509	1024	984
510	1025	981
511	1026	978
512	1029	977
513	1031	975
514	1032	972
515	1033	969
516	1035	966
517	1036	964
518	1037	961
519	1038	959
520	1040	956
521	1041	953
522	1043	951
523	1045	949
524	1046	946
525	1047	944
526	1049	941
527	1050	939
528	1051	936
529	1052	933
530	1054	931
531	1055	928
532	1056	926
533	1059	924
534	1060	921
535	1062	919
536	1063	917
537	1064	914
538	1065	911
539	1067	909
540	1068	906
541	1069	903
542	1070	901
543	1073	899
544	1075	897
545	1076	895
546	1077	892
547	1079	890
548	1080	887
549	1081	885
550	1083	882
551	1084	880
552	1085	877
553	1090	878
554	1092	876
555	1094	873
556	1096	871
557	1097	869
558	1098	866
559	1099	864
560	1101	861
561	1103	860
562	1105	857
563	1106	855
564	1108	853
565	1109	850
566	1110	848
567	1112	845
568	1113	843
569	1115	841
570	1116	838
571	1118	836
572	1119	834
573	1121	832
574	1122	829
575	1123	827
576	1124	824
577	1126	822
578	1127	819
579	1128	817
580	1130	814
581	1133	814
582	1135	811
583	1136	809
584	1137	806
585	1138	804
586	1139	801
587	1141	799
588	1142	797
589	1143	794
590	1145	792
591	1147	790
592	1148	788
593	1149	785
594	1151	783
595	1152	781
596	1153	778
597	1154	776
598	1156	773
599	1157	771
600	1158	769
601	1159	766
602	1162	765
603	1163	762
604	1164	760
605	1166	758
606	1167	755
607	1168	753
608	1170	751
609	1171	748
610	1172	746
611	1173	744
612	1175	742
613	1177	740
614	1178	737
615	1179	735
616	1181	733
617	1182	730
618	1183	728
619	1184	726
620	1186	723
621	1187	721
622	1188	719
623	1191	717
624	1192	715
625	1193	713
626	1195	711
627	1196	708
628	1198	706
629	1200	704
630	1201	702
631	1202	700
632	1203	697
633	1206	696
634	1207	694
635	1209	691
636	1210	689
637	1212	688
638	1214	685
639	1215	683
640	1216	681
641	1217	679
642	1219	676
643	1221	675
644	1222	672
645	1224	670
646	1225	668
647	1226	666
648	1227	664
649	1229	661
650	1230	659
651	1231	657
652	1233	655
653	1235	653
654	1236	651
655	1238	649
656	1239	647
657	1240	644
658	1242	642
659	1243	640
660	1244	638
661	1245	636
662	1247	633
663	1249	632
664	1251	630
665	1252	628
666	1253	625
667	1255	623
668	1256	621
669	1257	619
670	1259	617
671	1260	615
672	1261	613
673	1263	611
674	1265	609
675	1266	607
676	1267	604
677	1269	602
678	1270	600
679	1271	598
680	1272	596
681	1274	594
682	1275	592
683	1277	590
684	1278	588
685	1280	586
686	1282	584
687	1283	582
688	1285	580
689	1286	578
690	1287	575
691	1289	573
692	1290	571
693	1293	570
694	1294	568
695	1295	565
696	1296	563
697	1298	561
698	1299	559
699	1300	557
700	1302	555
701	1304	553
702	1305	551
703	1308	550
704	1309	548
705	1311	545
706	1312	543
707	1313	541
708	1314	539
709	1315	537
710	1317	535
711	1318	533
712	1319	531
713	1322	529
714	1323	527
715	1324	525
716	1326	523
717	1327	521
718	1328	519
719	1330	517
720	1331	515
721	1332	513
722	1333	510
723	1335	508
724	1337	507
725	1339	505
726	1340	503
727	1341	501
728	1343	499
729	1344	497
730	1345	495
731	1346	493
732	1348	491
733	1349	489
734	1351	487
735	1352	485
736	1354	483
737	1355	481
